id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,playerId,playerName,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,isOwnGoal,cardType,xG,x_metrica,endX_metrica,y_metrica,endY_metrica,EPV_start,EPV_end,EPV_difference
2241066883.0,2,0,0.0,65,0.0,0.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",[],[],False,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,,,,,,,,,,,,,,,,-53.0,,-34.0,,,,
2241066893.0,2,0,0.0,1354,0.0,0.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",[],[],False,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,,,,,,,,,,,,,,,,-53.0,,-34.0,,,,
2241066907.0,3,0,0.0,65,50.5,49.7,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.6'}]","[90, 116, 29, 34, 36, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,73494,Martin Braithwaite,45.0,54.8,,,,,,,,,,,,0.5300000000000011,-5.299999999999997,-0.20399999999999352,3.263999999999996,0.0139,0.0136,-0.0002999999999999999
2241066925.0,4,0,0.0,65,43.2,55.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 116, 29, 34, 37, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,80241,Antoine Griezmann,33.8,46.6,,,,,,,,,,,,-7.207999999999991,-17.172000000000004,3.4000000000000057,-2.3119999999999976,0.013,0.0108,-0.002199999999999999
2241066939.0,5,0,2.0,65,32.3,41.2,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.1'}]","[90, 116, 29, 35, 36, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,397469,Óscar Mingueza,37.1,57.0,,,,,,,,,,,,-18.762000000000008,-13.674,-5.983999999999998,4.759999999999998,0.0107,0.0116,0.0008999999999999998
2241066943.0,6,0,5.0,65,35.8,56.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 35, 37, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,279423,Frenkie de Jong,44.2,45.5,,,,,,,,,,,,-15.052,-6.147999999999996,4.691999999999993,-3.0599999999999987,0.0112,0.0136,0.0023999999999999994
2241066963.0,7,0,6.0,65,44.2,45.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 116, 29, 34, 36, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,44721,Sergio Busquets,38.9,58.8,,,,,,,,,,,,-6.147999999999996,-11.765999999999998,-3.0599999999999987,5.983999999999995,0.0136,0.0121,-0.0014999999999999996
2241066979.0,8,0,8.0,65,41.7,63.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '74.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 118, 116, 29, 35, 36, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,279423,Frenkie de Jong,53.2,74.9,,,,,,,,,,,,-8.797999999999995,3.392000000000003,9.18,16.93200000000001,0.0123,0.0148,0.0025000000000000005
2241066989.0,9,0,9.0,65,53.2,74.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[90, 116, 29, 34, 37, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,80767,Philippe Coutinho,44.3,68.6,,,,,,,,,,,,3.392000000000003,-6.042000000000009,16.93200000000001,12.647999999999996,0.0148,0.0132,-0.0016000000000000007
2241067059.0,10,0,11.0,65,43.9,66.6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.9'}]","[90, 116, 29, 35, 37, 215, 217]",True,1492054,2020-12-05T00:00:00,2020-12-05T20:00:00,2 : 1,2 : 1,1 : 0,,Ramón de Carranza,95,279423,Frenkie de Jong,45.9,51.8,,,,,,,,,,,,-6.466000000000001,-4.346000000000004,11.287999999999997,1.2240000000000038,0.0126,0.0136,0.0009999999999999992
