"id","goals","own_goals","shots","xG","time","player_id","team_id","position","player","h_a","yellow_card","red_card","roster_in","roster_out","key_passes","assists","xA","xGChain","xGBuildup","positionOrder","match_id"
448584,0,0,0,0,90,584,153,"GK","Joel Robles","h",0,0,0,0,0,0,0,0,0,1,14991
448585,0,0,0,0,90,7430,153,"DR","Emerson","h",0,0,0,0,1,1,0.439566522836685,0.941990792751312,0.502424240112305,2,14991
448586,0,0,0,0,90,3237,153,"DC","Aissa Mandi","h",0,0,0,0,0,0,0,0.890466034412384,0.890466034412384,3,14991
448587,1,1,2,0.663065791130066,90,2298,153,"DC","Víctor Ruiz","h",1,0,0,0,0,0,0,0.132692530751228,0.132692530751228,3,14991
448588,0,0,0,0,90,4120,153,"DL","Álex Moreno","h",0,0,0,0,1,0,0.137458607554436,0.137458607554436,0.137458607554436,4,14991
448590,0,0,0,0,78,7355,153,"DMC","Paul Akouokou","h",0,0,448595,0,1,0,0.0246379282325506,0.0246379282325506,0,7,14991
448589,0,0,0,0,90,6164,153,"DMC","Andrés Guardado","h",0,0,0,0,0,0,0,0.890466034412384,0.890466034412384,7,14991
448591,0,0,0,0,68,6427,153,"AMR","Aitor Ruibal","h",0,0,448599,0,0,0,0,0.475537419319153,0.475537419319153,11,14991
448592,0,0,1,0.0246379282325506,86,3667,153,"AMC","Nabil Fekir","h",0,0,448597,0,2,1,1.07112598419189,1.18525505065918,0.709717631340027,12,14991
448593,0,0,2,0.583592057228088,78,897,153,"AML","Juanmi","h",0,0,448596,0,0,0,0,1.02315855026245,0.439566522836685,13,14991
448594,1,0,2,0.57702511548996,85,2543,153,"FW","Borja Iglesias","h",0,0,448598,0,1,0,0.132692530751228,1.18525505065918,0.475537419319153,15,14991
448596,0,0,0,0,12,1421,153,"Sub","Cristian Tello","h",0,0,0,448593,1,0,0.0268868170678616,0.0268868170678616,0,17,14991
448599,0,0,0,0,22,8410,153,"Sub","Rodrigo Sánchez","h",0,0,0,448591,0,0,0,0,0,17,14991
448597,0,0,1,0.0268868170678616,4,2571,153,"Sub","Sergio Canales","h",0,0,0,448592,1,0,0.0428392440080643,0.0268868170678616,0.0268868170678616,17,14991
448595,0,0,0,0,12,8267,153,"Sub","Guido Rodríguez","h",0,0,0,448590,0,0,0,0,0,17,14991
448598,0,0,0,0,5,6528,153,"Sub","Loren Morón","h",0,0,0,448594,0,0,0,0,0,17,14991
448600,0,0,0,0,90,2090,148,"GK","Marc-André ter Stegen","a",0,0,0,0,0,0,0,0.0719824507832527,0.0719824507832527,1,14991
448601,0,0,2,0.132985189557076,90,9011,148,"DR","Óscar Mingueza","a",0,0,0,0,0,0,0,0.10549358278513,0.0335111357271671,2,14991
448602,0,0,1,0.465376257896423,90,5050,148,"DC","Clement Lenglet","a",0,0,0,0,0,0,0,0.0719824507832527,0.0719824507832527,3,14991
448603,0,0,0,0,10,8091,148,"DC","Ronald Araújo","a",0,0,448613,0,0,0,0,0,0,3,14991
448604,0,0,0,0,90,2093,148,"DL","Jordi Alba","a",0,0,0,0,4,0,0.566750764846802,0.0901509821414948,0,4,14991
448605,0,0,0,0,60,1290,148,"MC","Miralem Pjanic","a",0,0,448614,0,0,0,0,0.0719824507832527,0.0719824507832527,9,14991
448606,0,0,0,0,81,2095,148,"MC","Sergio Busquets","a",1,0,448612,0,0,0,0,0.458848804235458,0.458848804235458,9,14991
448607,0,0,0,0,60,7548,148,"MC","Riqui Puig","a",0,0,448611,0,0,0,0,0.162133440375328,0.162133440375328,9,14991
448608,0,0,3,0.365884006023407,90,3226,148,"FWR","Ousmane Dembélé","a",1,0,0,0,3,1,0.188927814364433,0.489520877599716,0,14,14991
448609,0,0,2,0.155441895127296,90,2270,148,"FW","Antoine Griezmann","a",0,0,0,0,1,0,0.263204246759415,0.353355228900909,0.263204246759415,15,14991
448610,0,0,1,0.0112235359847546,49,3211,148,"FWL","Martin Braithwaite","a",0,0,448615,0,0,0,0,0,0,16,14991
448611,1,0,2,0.141984194517136,30,2097,148,"Sub","Lionel Messi","a",0,0,0,448607,2,0,0.0945138782262802,0.348369807004929,0.263204246759415,17,14991
448614,1,0,1,0.0599421337246895,30,8934,148,"Sub","Trincão","a",0,0,0,448605,0,0,0,0.0599421337246895,0,17,14991
448612,0,0,0,0,9,3567,148,"Sub","Samuel Umtiti","a",0,0,0,448606,0,0,0,0,0,17,14991
448615,0,0,0,0,41,8935,148,"Sub","Pedri","a",0,0,0,448610,0,0,0,0.162133440375328,0.162133440375328,17,14991
448613,0,0,0,0,80,7781,148,"Sub","Frenkie de Jong","a",1,0,0,448603,0,0,0,0.195644572377205,0.195644572377205,17,14991
